SNO,PPM,Rs,Ro,Rs/Ro
1,363,76.37,206.293,0.370201606
2,362,77.02,206.293,0.373352465
3,362,77.36,206.293,0.375000606
4,361,77.73,206.293,0.376794171
5,360,78.11,206.293,0.378636212
6,358,78.36,206.293,0.37984808
7,357,78.56,206.293,0.380817575
8,356,78.81,206.293,0.382029444
9,355,78.81,206.293,0.382029444
10,353,78.48,206.293,0.380429777
11,352,78.47,206.293,0.380381302
12,350,79.66,206.293,0.386149797
13,349,80.34,206.293,0.389446079
14,347,80.58,206.293,0.390609473
15,346,81.22,206.293,0.393711856
16,345,81.92,206.293,0.397105088
17,343,81.7,206.293,0.396038644
18,341,81.84,206.293,0.39671729
19,340,81.86,206.293,0.39681424
20,339,82.9,206.293,0.401855613
21,337,82.33,206.293,0.399092553
22,760,41.23,206.293,0.199861362
23,759,41.38,206.293,0.200588483
24,756,41.52,206.293,0.20126713
25,753,41.37,206.293,0.200540009
26,751,41.4,206.293,0.200685433
27,749,41.62,206.293,0.201751877
28,747,41.99,206.293,0.203545443
29,744,42.23,206.293,0.204708836
30,741,42.1,206.293,0.204078665
31,738,42.22,206.293,0.204660362
32,736,42.46,206.293,0.205823756
33,733,42.41,206.293,0.205581382
34,731,42.63,60.253,0.707516638
35,726,42.68,206.293,0.2068902
36,724,42.53,206.293,0.206163079
37,722,42.65,206.293,0.206744776
38,721,42.87,206.293,0.20781122
39,718,42.98,206.293,0.208344442
40,717,43.16,206.293,0.209216987
41,714,43.11,206.293,0.208974614
42,711,43.43,206.293,0.210525806
43,710,43.46,206.293,0.21067123
44,708,43.62,206.293,0.211446826
45,706,43.5,206.293,0.210865129
46,705,43.54,206.293,0.211059028
47,702,43.54,206.293,0.211059028
48,700,43.89,206.293,0.212755644
49,698,43.77,206.293,0.212173947
50,696,43.86,206.293,0.212610219
51,186,103.59,206.293,0.502149855
52,185,103.43,206.293,0.501374259
53,185,103.39,206.293,0.50118036
54,184,103.89,206.293,0.503604097
55,182,103.39,206.293,0.50118036
56,182,103.89,206.293,0.503604097
57,181,103.89,206.293,0.503604097
58,180,104.01,206.293,0.504185794
59,179,104.05,206.293,0.504379693
60,179,104.14,206.293,0.504815966
61,178,104.35,206.293,0.505833935
62,177,103.93,206.293,0.503797996
63,176,104.47,206.293,0.506415632
64,176,104.6,206.293,0.507045804
65,175,104.94,206.293,0.508693945
66,174,105.33,206.293,0.51058446
67,174,105.67,206.293,0.512232601
68,173,105.58,206.293,0.511796329
69,172,106.1,206.293,0.514317015
70,172,106.5,206.293,0.516256005
71,172,106.76,206.293,0.517516348
72,171,106.98,206.293,0.518582792
73,171,107.29,206.293,0.520085509
74,170,107.55,206.293,0.521345853
75,169,108.5,206.293,0.525950953
76,169,108.54,206.293,0.526144852
77,168,108.5,206.293,0.525950953
78,168,109.23,206.293,0.529489609
79,167,109.27,206.293,0.529683508
80,167,109.83,206.293,0.532398094
